Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
14/ 12/ 2021,19450,18850,18750,18850,18950,18350,18650,19650,19800,18500,19350,19450,20150,18900,18200,18850,19250,19050,19650,20050,18950,19350,18800,19350,25400,18500,19050,19800,18100,18650,20400,16450,19550,21700
21/ 12/ 2021,19950,18900,18750,18300,20650,18350,18850,19300,19350,19150,19350,19600,20400,18850,18550,19150,19400,19150,19700,20250,18950,19300,19100,-,25700,19050,19650,20300,18200,18700,20800,17750,19750,22150
28/ 12/ 2021,20150,19000,18750,19150,19300,18350,18850,19650,19350,19250,19600,19700,20450,19100,18600,19350,19400,19200,20100,20300,18950,19400,19550,20150,25550,18850,19700,20550,18250,18700,20800,17500,19950,22250
04/ 01/ 2022,20250,19250,19050,19150,19600,18400,18950,19650,19350,19350,19600,19850,20650,19200,18600,19350,19800,19300,20100,20400,20000,19400,19750,20750,25850,20000,19850,20550,18600,19150,20800,23100,20150,22150
11/ 01/ 2022,20500,19600,19550,19350,19350,18400,19400,19600,19350,19350,19700,20000,20700,19400,18600,19650,19700,19550,20550,20550,20200,19900,19850,20800,26450,19950,19850,20550,19050,19350,20850,23350,20150,22350
18/ 01/ 2022,20650,19900,19700,19500,19350,18650,19450,19600,19350,19450,19800,20050,20700,19500,19550,19800,19700,19650,20900,20650,20200,20300,20150,20800,26450,20100,19850,20650,19100,20250,21750,23350,20150,22450
25/ 01/ 2022,20750,19950,18350,19500,18950,18700,19500,19600,18850,19400,19800,20050,20700,19350,19500,19500,19650,19500,20900,20550,20200,20300,19800,20800,26350,19800,19850,20650,18900,20150,21900,23350,21050,22450
01/ 02/ 2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
08/ 02/ 2022,20750,19400,15900,17950,15650,18700,13850,19550,17150,18100,19800,18950,18900,18300,18250,17450,18500,18650,19500,18150,19600,18750,18900,19500,25750,18100,19550,17150,17250,18350,21900,23350,20100,21950
15/ 02/ 2022,20050,20300,16350,17950,16250,18700,13850,18850,15900,17950,18100,18200,18750,18150,17850,17700,18550,17500,19500,17800,19600,18750,18750,19250,25350,17650,19550,16750,17050,18350,21650,23100,20450,21100
22/ 02/ 2022,18450,19700,15750,16400,16150,18700,13850,17350,15900,18200,17000,18000,18950,18050,17850,17200,18150,18600,20000,17900,18950,18750,18800,19100,25100,17450,18950,16800,17150,17700,21400,23000,20750,20850
01/ 03/ 2022,17950,19550,15850,16700,15900,18700,-,16600,15900,18300,17000,17750,19000,17450,17250,16750,18150,19000,20500,17350,18800,18750,18800,19100,25000,17800,19100,17400,17200,18100,21500,23000,20200,21350
08/ 03/ 2022,15850,18950,15800,16150,15900,18700,-,16850,14900,18250,16750,17150,18800,17300,17650,16200,18150,20100,20600,17500,18800,18750,20050,19050,24850,18150,32850,18650,17200,19000,20350,24500,20350,21450
15/ 03/ 2022,15700,17800,15600,15750,15750,18050,13850,16850,14200,18450,16650,17500,18850,17600,18250,16350,17850,21300,20300,18100,18850,18400,20700,19500,23800,18850,47950,19300,17050,19350,20300,23500,20400,21700
22/ 03/ 2022,18400,19650,21050,19900,20950,18400,19050,23450,25050,20200,22150,21200,21000,21950,18850,22900,21250,23200,22000,22600,22350,24850,21650,20550,26800,19850,48050,22200,19100,20850,25150,25700,23300,24000
29/ 03/ 2022,18600,21300,21650,22150,21200,22400,19850,22750,24950,20500,22250,24450,21500,22850,18850,23450,20950,24100,23150,23750,22550,24850,22600,20700,30250,20300,47000,25150,19000,26850,25700,26850,26150,28400
05/ 04/ 2022,19350,21250,21950,22350,21700,22550,21350,23750,24650,20400,22400,24400,22850,23300,20000,23550,20850,24750,23500,23650,22800,24800,24850,20700,29800,20950,45450,24850,19100,27250,26350,26850,26800,30650
12/ 04/ 2022,19350,21250,22250,22150,21700,22550,21350,23100,24950,20850,22200,24150,23950,23350,20200,23400,21300,25100,24000,22700,22600,24800,25650,23000,30600,21200,41300,27200,20200,27600,26750,27100,25900,31400
19/ 04/ 2022,20600,21150,22100,22150,22300,22550,21450,22800,24650,20500,22150,23850,23550,23500,20000,22900,21400,25050,24550,24200,23350,24800,25600,24300,32500,21400,41000,27200,20650,25800,28400,28800,26400,32900
26/ 04/ 2022,20950,21200,21950,22150,22300,22550,21550,23050,24650,20850,22150,23750,24100,23050,21100,22750,21550,24700,25750,24000,23200,25200,25600,24450,32750,21600,38100,28350,20950,24600,28400,28950,27050,32650
03/ 05/ 2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
